Entry	WormBase	Gene Names	Organism
A0A061ACU2	C10C5.1a [A0A061ACU2-2];C10C5.1b [A0A061ACU2-3];C10C5.1c [A0A061ACU2-4];C10C5.1d [A0A061ACU2-5];C10C5.1e [A0A061ACU2-6];C10C5.1f [A0A061ACU2-7];C10C5.1g [A0A061ACU2-1];C10C5.1h [A0A061ACU2-8];C10C5.1i [A0A061ACU2-9];C10C5.1j [A0A061ACU2-10];C10C5.1k [A0A061ACU2-11];C10C5.1l [A0A061ACU2-12];	pezo-1 C10C5.1	Caenorhabditis elegans
A0A0K3AUE4	K10G6.3a [A0A0K3AUE4-2];K10G6.3b [A0A0K3AUE4-3];K10G6.3c [A0A0K3AUE4-4];K10G6.3d [A0A0K3AUE4-5];K10G6.3e [A0A0K3AUE4-6];K10G6.3f [A0A0K3AUE4-7];K10G6.3g [A0A0K3AUE4-1];K10G6.3h [A0A0K3AUE4-8];K10G6.3i [A0A0K3AUE4-9];K10G6.3j [A0A0K3AUE4-10];K10G6.3k [A0A0K3AUE4-11];K10G6.3l [A0A0K3AUE4-12];K10G6.3m [A0A0K3AUE4-13];K10G6.3n [A0A0K3AUE4-14];K10G6.3o [A0A0K3AUE4-15];K10G6.3p [A0A0K3AUE4-16];K10G6.3q [A0A0K3AUE4-17];K10G6.3r [A0A0K3AUE4-18];K10G6.3s [A0A0K3AUE4-19];	sea-2 K10G6.3	Caenorhabditis elegans
A0A0K3AUJ9	F09E5.15a [A0A0K3AUJ9-2];F09E5.15b [A0A0K3AUJ9-3];F09E5.15c [A0A0K3AUJ9-1];	prdx-2 prx2 tag-56 F09E5.15	Caenorhabditis elegans
A0A0K3AV08	K11D12.10a [A0A0K3AV08-2];K11D12.10b [A0A0K3AV08-3];K11D12.10c [A0A0K3AV08-1];K11D12.10d [A0A0K3AV08-4];	mlk-1 K11D12.10	Caenorhabditis elegans
A0A0K3AWM6	T23D8.1a [A0A0K3AWM6-2];T23D8.1b [A0A0K3AWM6-1];	mom-5 T23D8.1	Caenorhabditis elegans
A0A0K3AXH1	Y108G3AL.7a [A0A0K3AXH1-2];Y108G3AL.7b [A0A0K3AXH1-1];Y108G3AL.7c [A0A0K3AXH1-3];Y108G3AL.7d [A0A0K3AXH1-4];Y108G3AL.7e [A0A0K3AXH1-5];Y108G3AL.7f [A0A0K3AXH1-6];Y108G3AL.7g [A0A0K3AXH1-7];Y108G3AL.7h [A0A0K3AXH1-8];Y108G3AL.7i [A0A0K3AXH1-9];	arid-1 Y108G3AL.7	Caenorhabditis elegans
A0A131MCZ8	C33D12.2a [A0A131MCZ8-1];C33D12.2b [A0A131MCZ8-2];C33D12.2c [A0A131MCZ8-3];C33D12.2d [A0A131MCZ8-4];	cnnm-3 C33D12.2	Caenorhabditis elegans
A0A163UT06	T21B10.5a [A0A163UT06-1];T21B10.5b [A0A163UT06-2];	set-17 T21B10.5	Caenorhabditis elegans
A0A1C3NSL9	C25A11.4a [A0A1C3NSL9-10];C25A11.4d [A0A1C3NSL9-8];C25A11.4e [A0A1C3NSL9-2];C25A11.4f [A0A1C3NSL9-6];C25A11.4g [A0A1C3NSL9-9];C25A11.4h [A0A1C3NSL9-7];C25A11.4i [A0A1C3NSL9-11];C25A11.4j [A0A1C3NSL9-3];C25A11.4k [A0A1C3NSL9-1];C25A11.4l [A0A1C3NSL9-5];C25A11.4m [A0A1C3NSL9-4];	ajm-1 C25A11.4 CELE_C25A11.4	Caenorhabditis elegans
A0A2K5ATM0	C54G4.1d;	rskn-2 C54G4.1 CELE_C54G4.1	Caenorhabditis elegans
A0A2K5ATN2	C54G4.1c;	rskn-2 C54G4.1 CELE_C54G4.1	Caenorhabditis elegans
A0A5E4M3Q4	ZK867.1b [A0A5E4M3Q4-2];ZK867.1c [A0A5E4M3Q4-3];ZK867.1d [A0A5E4M3Q4-4];ZK867.1e [A0A5E4M3Q4-5];ZK867.1f [A0A5E4M3Q4-1];	syd-9 tag-239 ztf-10 ZK867.1	Caenorhabditis elegans
A0A5S9MMK5	T14F9.4a [A0A5S9MMK5-2];T14F9.4b [A0A5S9MMK5-3];T14F9.4c [A0A5S9MMK5-1];	peb-1 T14F9.4	Caenorhabditis elegans
A3QM97	C52D10.12;	cnnm-1 C52D10.12	Caenorhabditis elegans
A5JYR4	M110.5d;	dab-1 CELE_M110.5 M110.5	Caenorhabditis elegans
A5JYS0	F54D5.1a [A5JYS0-1];F54D5.1b [A5JYS0-2];	pcs-1 F54D5.1	Caenorhabditis elegans
A5JYW9	F02E9.4a [A5JYW9-2];F02E9.4b [A5JYW9-1];	sin-3 pqn-28 F02E9.4	Caenorhabditis elegans
A5JYX5	T02E1.5a [A5JYX5-2];T02E1.5b [A5JYX5-1];T02E1.5c [A5JYX5-3];	dhs-3 T02E1.5	Caenorhabditis elegans
A5JYX8	T05F1.1a [A5JYX8-2];T05F1.1b [A5JYX8-1];	nra-2 T05F1.1	Caenorhabditis elegans
A5PEX5	Y54G11A.10a;	lin-7 CELE_Y54G11A.10 Y54G11A.10	Caenorhabditis elegans
A7DTF0	Y37D8A.9a [A7DTF0-2];Y37D8A.9b [A7DTF0-1];	mrg-1 Y37D8A.9	Caenorhabditis elegans
A8WFJ9	F22A3.1a [A8WFJ9-2];F22A3.1b [A8WFJ9-1];	ets-4 F22A3.1	Caenorhabditis elegans
A8WI68	K11D9.2c;	sca-1 CELE_K11D9.2 K11D9.2	Caenorhabditis elegans
B1Q236	K02E10.8a [B1Q236-2];K02E10.8b [B1Q236-1];	syg-1 K02E10.8	Caenorhabditis elegans
B1Q257	R01E6.1a [B1Q257-2];R01E6.1b [B1Q257-1];	odr-1 gcy-10 R01E6.1	Caenorhabditis elegans
B1V8A0	T04D1.3a [B1V8A0-2];T04D1.3b [B1V8A0-3];T04D1.3c [B1V8A0-4];T04D1.3d [B1V8A0-1];	unc-57 T04D1.3	Caenorhabditis elegans
B2D6K9	C47G2.5a [B2D6K9-2];C47G2.5b [B2D6K9-3];C47G2.5c [B2D6K9-1];	saps-1 C47G2.5	Caenorhabditis elegans
B2D6M2	R06C7.7a [B2D6M2-2];R06C7.7b [B2D6M2-1];	lin-61 R06C7.7	Caenorhabditis elegans
B2D6P4	F39H11.2a [B2D6P4-2];F39H11.2b [B2D6P4-1];	tlf-1 F39H11.2	Caenorhabditis elegans
B2FDA8	Y47D3A.26a [B2FDA8-2];Y47D3A.26b [B2FDA8-1];Y47D3A.26c [B2FDA8-3];	smc-3 Y47D3A.26	Caenorhabditis elegans
B3WFY8	M04C9.5a [B3WFY8-2];M04C9.5b [B3WFY8-1];	dyf-5 M04C9.5	Caenorhabditis elegans
B5BM27	ZK1067.1c;	let-23 CELE_ZK1067.1 ZK1067.1	Caenorhabditis elegans
B5BM28	ZK1067.1b;	let-23 CELE_ZK1067.1 ZK1067.1	Caenorhabditis elegans
B6VQ60	C36A4.8a [B6VQ60-1];C36A4.8b [B6VQ60-2];	brc-1 C36A4.8	Caenorhabditis elegans
B7CED8	Y67D8C.10d;	mca-3 CELE_Y67D8C.10 Y67D8C.10	Caenorhabditis elegans
B7FAS6	Y48C3A.8a [B7FAS6-1];Y48C3A.8b [B7FAS6-2];	sam-10 Y48C3A.8	Caenorhabditis elegans
B7WN72	C33B4.3a [B7WN72-2];C33B4.3b [B7WN72-3];C33B4.3c [B7WN72-1];	shn-1 C33B4.3	Caenorhabditis elegans
B7WN96	K02B9.4a [B7WN96-2];K02B9.4b [B7WN96-1];K02B9.4c [B7WN96-3];K02B9.4d [B7WN96-4];	elt-3 K02B9.4	Caenorhabditis elegans
C1P636	C47E12.5c;	uba-1 C47E12.5 CELE_C47E12.5	Caenorhabditis elegans
C4ALD5	F55C7.7i;	unc-73 CELE_F55C7.7 F55C7.7	Caenorhabditis elegans
C6KRL6	K02B12.8a [C6KRL6-2];K02B12.8b [C6KRL6-1];	zhp-3 K02B12.8	Caenorhabditis elegans
C6KRN1	R10D12.14a [C6KRN1-2];R10D12.14b [C6KRN1-3];R10D12.14c [C6KRN1-1];R10D12.14d [C6KRN1-4];	sao-1 R10D12.14	Caenorhabditis elegans
C7IVR4	F53A3.4a [C7IVR4-2];F53A3.4b [C7IVR4-1];F53A3.4c [C7IVR4-3];F53A3.4d [C7IVR4-4];	pqn-41 F53A3.4	Caenorhabditis elegans
C8JQR2	F45E10.1f;	unc-53 CELE_F45E10.1 F45E10.1	Caenorhabditis elegans
D0PV95	Y71H2AM.19;	laf-1 Y71H2AM.19	Caenorhabditis elegans
D0VWM8	F44G4.4a [D0VWM8-2];F44G4.4c [D0VWM8-1];	tdp-1 F44G4.4	Caenorhabditis elegans
D0Z5N4	Y81G3A.3a [D0Z5N4-2];Y81G3A.3b [D0Z5N4-1];	gcn-2 Y81G3A.3	Caenorhabditis elegans
D3KZG3	T13G4.3;	tmc-1 T13G4.3	Caenorhabditis elegans
D9PTN5	F21A10.2a [D9PTN5-2];F21A10.2b [D9PTN5-3];F21A10.2c [D9PTN5-4];F21A10.2d [D9PTN5-5];F21A10.2e [D9PTN5-1];	myrf-2 F21A10.2	Caenorhabditis elegans
E0AHA7	K11C4.3c;	unc-70 CELE_K11C4.3 K11C4.3	Caenorhabditis elegans
E2JKY8	ZK593.5c;	dnc-1 CELE_ZK593.5 ZK593.5	Caenorhabditis elegans
E2JKZ0	ZK593.5b;	dnc-1 CELE_ZK593.5 ZK593.5	Caenorhabditis elegans
E7EAU8	ZK455.2;	gcy-9 ZK455.2	Caenorhabditis elegans
E7EM37	K09G1.4a [E7EM37-2];K09G1.4c [E7EM37-1];K09G1.4d [E7EM37-3];K09G1.4e [E7EM37-4];K09G1.4f [E7EM37-5];K09G1.4g [E7EM37-6];	dop-2 dop-2L K09G1.4	Caenorhabditis elegans
E9P860	ZK1067.2a [E9P860-2];ZK1067.2b [E9P860-1];	znfx-1 ZK1067.2	Caenorhabditis elegans
F3Y5P4	Y51A2D.15a [F3Y5P4-1];Y51A2D.15b [F3Y5P4-2];Y51A2D.15c [F3Y5P4-3];	grdn-1 Y51A2D.15	Caenorhabditis elegans
F5GUE5	F01G10.8a [F5GUE5-2];F01G10.8b [F5GUE5-1];	daf-14 F01G10.8	Caenorhabditis elegans
G1FC92	F01F1.13a [G1FC92-2];F01F1.13b [G1FC92-1];	mig-21 F01F1.13	Caenorhabditis elegans
G4SDH4	Y47D7A.14a [G4SDH4-2];Y47D7A.14b [G4SDH4-1];Y47D7A.14c [G4SDH4-3];	rft-2 Y47D7A.14	Caenorhabditis elegans
G4SLH0	W06H8.8a [G4SLH0-6];W06H8.8b [G4SLH0-7];W06H8.8c [G4SLH0-5];W06H8.8d [G4SLH0-4];W06H8.8e [G4SLH0-2];W06H8.8f [G4SLH0-3];W06H8.8g [G4SLH0-1];	ttn-1 W06H8.8	Caenorhabditis elegans
G5EBF1	ZK377.2a [G5EBF1-2];ZK377.2b [G5EBF1-1];	sax-3 ZK377.2	Caenorhabditis elegans
G5EBH0	B0348.4a [G5EBH0-2];B0348.4b [G5EBH0-1];B0348.4c [G5EBH0-3];	egl-8 B0348.4	Caenorhabditis elegans
G5EBH1	F36H2.1a [G5EBH1-1];F36H2.1b [G5EBH1-2];F36H2.1c [G5EBH1-3];	tat-5 F36H2.1	Caenorhabditis elegans
G5EBH3	R31.1d;	sma-1 CELE_R31.1 R31.1	Caenorhabditis elegans
G5EBI4	K02F3.6;	ceeh-1 K02F3.6	Caenorhabditis elegans
G5EBJ9	K08C7.5;	fmo-2 CELE_K08C7.5 K08C7.5	Caenorhabditis elegans
G5EBK1	K09C8.1;	pbo-4 nhx-7 K09C8.1	Caenorhabditis elegans
G5EBK3	C01G8.5b;	erm-1 C01G8.5 CELE_C01G8.5	Caenorhabditis elegans
G5EBL2	F54F7.5;	mes-1 F54F7.5	Caenorhabditis elegans
G5EBL3	C35C5.1;	sdc-2 C35C5.1	Caenorhabditis elegans
G5EBM1	Y48E1B.13a [G5EBM1-1];Y48E1B.13b [G5EBM1-2];Y48E1B.13c [G5EBM1-3];	csp-1 Y48E1B.13	Caenorhabditis elegans
G5EBN9	T13B5.1;	snf-3 bgt-1 T13B5.1	Caenorhabditis elegans
G5EBQ3	F26A3.3;	ego-1 CELE_F26A3.3 F26A3.3	Caenorhabditis elegans
G5EBQ8	F48A11.1a [G5EBQ8-1];F48A11.1b [G5EBQ8-2];	chs-2 F48A11.1	Caenorhabditis elegans
G5EBR3	F11A5.10;	glc-1 F11A5.10	Caenorhabditis elegans
G5EBT1	W06B3.2a [G5EBT1-2];W06B3.2b [G5EBT1-3];W06B3.2c [G5EBT1-1];W06B3.2d [G5EBT1-4];	sma-5 W06B3.2	Caenorhabditis elegans
G5EBU3	C31B8.8;	zmp-3 C31B8.8	Caenorhabditis elegans
G5EBU4	F28F9.1;	zag-1 F28F9.1	Caenorhabditis elegans
G5EBV0	F22E12.4a [G5EBV0-1];F22E12.4b [G5EBV0-2];F22E12.4c [G5EBV0-3];F22E12.4d [G5EBV0-4];F22E12.4e [G5EBV0-5];	egl-9 F22E12.4	Caenorhabditis elegans
G5EBV3	C35C5.4a;	mig-2 MIG-2 C35C5.4 CELE_C35C5.4	Caenorhabditis elegans
G5EBV6	C18G1.4a [G5EBV6-1];C18G1.4b [G5EBV6-2];	pgl-3 C18G1.4	Caenorhabditis elegans
G5EBV8	B0212.5;	osm-9 B0212.5 CELE_B0212.5	Caenorhabditis elegans
G5EBX1	F45E10.1g;	unc-53 CELE_F45E10.1 F45E10.1	Caenorhabditis elegans
G5EBX6	C14A4.4a [G5EBX6-1];C14A4.4b [G5EBX6-2];	crn-3 C14A4.4	Caenorhabditis elegans
G5EBX9	F23H11.8a [G5EBX9-1];F23H11.8b [G5EBX9-2];F23H11.8c [G5EBX9-3];	pef-1 F23H11.8	Caenorhabditis elegans
G5EBY3	F20G4.3;	nmy-2 CELE_F20G4.3 F20G4.3	Caenorhabditis elegans
G5EBY8	C53D6.2;	unc-129 C53D6.2	Caenorhabditis elegans
G5EBZ4	F26F12.7;	let-418 evl-11 F26F12.7	Caenorhabditis elegans
G5EBZ8	C01C7.1a [G5EBZ8-1];C01C7.1b [G5EBZ8-2];	ark-1 C01C7.1	Caenorhabditis elegans
G5EC23	C46A5.9;	hcf-1 C46A5.9	Caenorhabditis elegans
G5EC24	F59G1.5;	ptp-2 F59G1.5	Caenorhabditis elegans
G5EC26	ZK256.1b;	pmr-1 CELE_ZK256.1 ZK256.1	Caenorhabditis elegans
G5EC32	Y45F10D.13a [G5EC32-1];Y45F10D.13c [G5EC32-2];	sorb-1 Y45F10D.13	Caenorhabditis elegans
G5EC35	R31.1b;	sma-1 sma1 CELE_R31.1 R31.1	Caenorhabditis elegans
G5EC36	C04F1.3;	lim-7 C04F1.3	Caenorhabditis elegans
G5EC37	M01E5.6;	sepa-1 M01E5.6	Caenorhabditis elegans
G5EC43	M03D4.1b;	zen-4 CELE_M03D4.1 M03D4.1	Caenorhabditis elegans
G5EC44	Y41C4A.14;	mrt-2 hpr-1 Y41C4A.14	Caenorhabditis elegans
G5EC86	C09G9.6;	oma-1 moe-1 C09G9.6	Caenorhabditis elegans
G5EC89	D1007.1;	ceh-17 D1007.1	Caenorhabditis elegans
G5ECA1	C26D10.5a;	eff-1 C26D10.5 CELE_C26D10.5	Caenorhabditis elegans
G5ECB2	ZK180.1;	gbb-2 ZK180.1	Caenorhabditis elegans
G5ECC3	W06H8.1b;	rme-1 CELE_W06H8.1 W06H8.1	Caenorhabditis elegans
G5ECC7	F30A10.10a [G5ECC7-1];F30A10.10b [G5ECC7-2];	usp-48 F30A10.10	Caenorhabditis elegans
G5ECD6	T25G3.2;	chs-1 T25G3.2	Caenorhabditis elegans
G5ECD9	T14B1.2;	aex-2 T14B1.2	Caenorhabditis elegans
G5ECE3	T22A3.8;	lam-3 lama1/2 T22A3.8	Caenorhabditis elegans
G5ECG0	Y54E2A.3;	tac-1 2P40 Y54E2A.3	Caenorhabditis elegans
G5ECG2	F29G9.4a [G5ECG2-2];F29G9.4b [G5ECG2-1];	fos-1 evl-5 F29G9.4	Caenorhabditis elegans
G5ECG7	K02D7.4;	dsc-4 K02D7.4	Caenorhabditis elegans
G5ECH5	F16A11.3a [G5ECH5-2];F16A11.3b [G5ECH5-3];F16A11.3d [G5ECH5-1];	ppfr-1 F16A11.3	Caenorhabditis elegans
G5ECH7	T27E9.3;	cdk-5 T27E9.3	Caenorhabditis elegans
G5ECJ0	H35N03.1 [G5ECJ0-1];	exp-1 H35N03.1	Caenorhabditis elegans
G5ECJ6	Y48G1C.2a [G5ECJ6-1];Y48G1C.2b [G5ECJ6-2];	csk-1 Y48G1C.2	Caenorhabditis elegans
G5ECK3	C32C4.5a [G5ECK3-1];C32C4.5b [G5ECK3-2];	mab-23 C32C4.5	Caenorhabditis elegans
G5ECL2	JC8.10a [G5ECL2-2];JC8.10b [G5ECL2-1];JC8.10c [G5ECL2-3];JC8.10d [G5ECL2-4];	unc-26 JC8.10	Caenorhabditis elegans
G5ECM9	R01B10.1a;	cpi-2 R01B10.1	Caenorhabditis elegans
G5ECN5	Y52D3.1a;	strd-1 Y52D3.1	Caenorhabditis elegans
G5ECN9	C51E3.7a [G5ECN9-1];C51E3.7c [G5ECN9-3];	egl-3 kpc-2 C51E3.7	Caenorhabditis elegans
G5ECP4	K09B11.1a [G5ECP4-1];K09B11.1b [G5ECP4-2];	pik-1 K09B11.1	Caenorhabditis elegans
G5ECQ2	F27E11.3;	cfz-2 F27E11.3	Caenorhabditis elegans
G5ECQ3	F35G12.3a [G5ECQ3-1];F35G12.3b [G5ECQ3-2];	sel-5 F35G12.3	Caenorhabditis elegans
G5ECR9	F55D12.4a [G5ECR9-1];F55D12.4b [G5ECR9-2];	unc-55 F55D12.4	Caenorhabditis elegans
G5ECT0	Y44A6E.1a [G5ECT0-2];Y44A6E.1b [G5ECT0-1];	pbo-5 lgc-2 Y44A6E.1	Caenorhabditis elegans
G5ECU1	F46A9.5;	skr-1 F46A9.5	Caenorhabditis elegans
G5ECU7	T24H10.7a [G5ECU7-1];T24H10.7b;T24H10.7c [G5ECU7-6];T24H10.7d [G5ECU7-4];T24H10.7e [G5ECU7-5];	jun-1 T24H10.7	Caenorhabditis elegans
G5ECW5	Y47H9C.6a;	csp-3 Y47H9C.6	Caenorhabditis elegans
G5ECX0	B0286.2a [G5ECX0-1];B0286.2b [G5ECX0-2];	lat-2 B0286.2	Caenorhabditis elegans
G5ECY0	C25F6.2a [G5ECY0-1];C25F6.2b [G5ECY0-2];	dlg-1 C25F6.2 CELE_C25F6.2	Caenorhabditis elegans
G5ECY6	T09B4.10;	chn-1 1G758 CELE_T09B4.10 T09B4.10	Caenorhabditis elegans
G5ECZ4	ZK520.3a [G5ECZ4-1];ZK520.3b [G5ECZ4-2];	dyf-2 ZK520.3	Caenorhabditis elegans
G5ED07	H06O01.1;	pdi-3 CELE_H06O01.1 H06O01.1	Caenorhabditis elegans
G5ED14	C04G2.7;	egl-38 C04G2.7	Caenorhabditis elegans
G5ED29	D2045.1a [G5ED29-1];D2045.1b [G5ED29-2];D2045.1c [G5ED29-3];	atx-2 D2045.1	Caenorhabditis elegans
G5ED33	Y57G11C.24g;	eps-8 CELE_Y57G11C.24 Y57G11C.24	Caenorhabditis elegans
G5ED35	F11F1.7;	ttr-52 F11F1.7	Caenorhabditis elegans
G5ED36	F18C12.2a;	rme-8 CELE_F18C12.2 F18C12.2	Caenorhabditis elegans
G5ED39	Y47G6A.12;	sep-1 Y47G6A.12	Caenorhabditis elegans
G5ED46	B0034.3a [G5ED46-1];B0034.3b [G5ED46-3];B0034.3c [G5ED46-2];	casy-1 B0034.3	Caenorhabditis elegans
G5ED47	ZK455.6;	hizr-1 nhr-33 ZK455.6	Caenorhabditis elegans
G5ED68	F53A2.8a [G5ED68-1];F53A2.8c [G5ED68-2];	mtm-6 cup-6 F53A2.8	Caenorhabditis elegans
G5ED84	W02G9.2a;	kel-8 W02G9.2	Caenorhabditis elegans
G5EDA3	T03F1.9;	hcp-4 CELE_T03F1.9 T03F1.9	Caenorhabditis elegans
G5EDA5	F58D5.4a [G5EDA5-1];F58D5.4b [G5EDA5-2];F58D5.4c [G5EDA5-3];	ksr-2 F58D5.4	Caenorhabditis elegans
G5EDB2	E02H4.3a [G5EDB2-1];E02H4.3b [G5EDB2-2];	madd-3 tag-172 E02H4.3	Caenorhabditis elegans
G5EDB9	T14G10.2a [G5EDB9-1];T14G10.2b [G5EDB9-2];T14G10.2d [G5EDB9-3];	pxf-1 ra-gef T14G10.2	Caenorhabditis elegans
G5EDD8	F46A9.4;	skr-2 CELE_F46A9.4 F46A9.4	Caenorhabditis elegans
G5EDE1	F45B8.4;	pag-3 F45B8.4	Caenorhabditis elegans
G5EDE2	K01G5.2a [G5EDE2-1];K01G5.2b [G5EDE2-2];K01G5.2c [G5EDE2-3];	hpl-2 K01G5.2a K01G5.2	Caenorhabditis elegans
G5EDE5	Y71G12B.16;	drag-1 Y71G12B.16	Caenorhabditis elegans
G5EDF0	Y48G8AR.1a;	grh-1 Y48G8AR.1	Caenorhabditis elegans
G5EDF7	R03G5.2;	sek-1 R03G5.2	Caenorhabditis elegans
G5EDJ0	F56E3.4a [G5EDJ0-1];F56E3.4b [G5EDJ0-2];	fax-1 F56E3.4	Caenorhabditis elegans
G5EDJ4	F41F3.2;	soc-1 F41F3.2	Caenorhabditis elegans
G5EDK5	F15B9.7a [G5EDK5-1];F15B9.7b [G5EDK5-2];F15B9.7c [G5EDK5-3];	fmi-1 F15B9.7	Caenorhabditis elegans
G5EDL3	K07C11.2;	air-1 AIR-1 CELE_K07C11.2 K07C11.2	Caenorhabditis elegans
G5EDM4	C01F6.6a [G5EDM4-1];C01F6.6b [G5EDM4-2];C01F6.6c [G5EDM4-3];C01F6.6d [G5EDM4-4];C01F6.6e [G5EDM4-5];C01F6.6f [G5EDM4-6];C01F6.6g [G5EDM4-7];C01F6.6h [G5EDM4-8];C01F6.6i [G5EDM4-9];C01F6.6j [G5EDM4-10];	nrfl-1 mpz-2 tag-60 C01F6.6	Caenorhabditis elegans
G5EDM7	W01G7.1;	daf-5 W01G7.1	Caenorhabditis elegans
G5EDN3	Y75B8A.22;	tim-1 csg-5 Y75B8A.22	Caenorhabditis elegans
G5EDN6	F55C10.1a;	cnb-1 F55C10.1	Caenorhabditis elegans
G5EDP2	Y57A10C.6;	daf-22 Y57A10C.6	Caenorhabditis elegans
G5EDR3	F26E4.1;	sur-6 F26E4.1	Caenorhabditis elegans
G5EDR5	K08F8.3;	fut-1 CEFT-1 K08F8.3	Caenorhabditis elegans
G5EDS1	F14F3.1a [G5EDS1-1];F14F3.1b [G5EDS1-2];F14F3.1c [G5EDS1-3];	vab-3 mab-18 pax-6 F14F3.1	Caenorhabditis elegans
G5EDT1	C32F10.2;	lin-35 C32F10.2	Caenorhabditis elegans
G5EDT6	F35C8.3;	jkk-1 F35C8.3	Caenorhabditis elegans
G5EDU1	ZK256.1c;	pmr-1 CELE_ZK256.1 ZK256.1	Caenorhabditis elegans
G5EDU6	F34D10.5;	lin-48 F34D10.5	Caenorhabditis elegans
G5EDV1	Y71F9B.5a;	lin-17 CELE_Y71F9B.5 Y71F9B.5	Caenorhabditis elegans
G5EDW2	B0457.1a [G5EDW2-1];B0457.1b [G5EDW2-2];B0457.1c [G5EDW2-3];	lat-1 B0457.1	Caenorhabditis elegans
G5EDW5	C04A11.4a [G5EDW5-1];C04A11.4b [G5EDW5-2];	adm-2 C04A11.4	Caenorhabditis elegans
G5EDW7	B0454.1;	lin-8 B0454.1	Caenorhabditis elegans
G5EDY0	F39B1.1;	piki-1 F39B1.1	Caenorhabditis elegans
G5EDZ2	T07C4.1;	umps-1 rad-6 T07C4.1	Caenorhabditis elegans
G5EE01	T07A9.6;	daf-18 T07A9.6	Caenorhabditis elegans
G5EE06	T05A7.10;	fut-5 CEFT-2 T05A7.10	Caenorhabditis elegans
G5EE07	R74.3 [G5EE07-1];	xbp-1 R74.3	Caenorhabditis elegans
G5EE18	K03A11.3;	ceh-28 K03A11.3	Caenorhabditis elegans
G5EE25	C01H6.9;	hasp-1 C01H6.9 CELE_C01H6.9	Caenorhabditis elegans
G5EE37	Y39G10AR.13a;	icp-1 CELE_Y39G10AR.13 Y39G10AR.13	Caenorhabditis elegans
G5EE56	Y92H12A.1a [G5EE56-1];Y92H12A.1b [G5EE56-2];Y92H12A.1c [G5EE56-3];Y92H12A.1d [G5EE56-4];	src-1 Y92H12A.1	Caenorhabditis elegans
G5EE72	F14F4.3;	mrp-5 F14F4.3	Caenorhabditis elegans
G5EE86	C40H5.5a [G5EE86-1];C40H5.5b [G5EE86-2];	ttx-3 C40H5.5	Caenorhabditis elegans
G5EE96	K11G12.5;	slc-25a10 K11G12.5	Caenorhabditis elegans
G5EEA1	ZC64.4a [G5EEA1-1];ZC64.4b [G5EEA1-2];ZC64.4c [G5EEA1-3];	lim-4 ZC64.4	Caenorhabditis elegans
G5EEB1	T19F4.1a [G5EEB1-2];T19F4.1b [G5EEB1-1];T19F4.1c [G5EEB1-3];	frpr-18 T19F4.1	Caenorhabditis elegans
G5EEC2	F49E10.3;	flp-7 F49E10.3	Caenorhabditis elegans
G5EEC5	F53B2.6;	ham-1 F53B2.6	Caenorhabditis elegans
G5EED4	K09A9.1;	nipi-3 K09A9.1	Caenorhabditis elegans
G5EEE1	T05A7.5;	fut-6 CEFT-3 T05A7.5	Caenorhabditis elegans
G5EEE2	F36F2.5;	tax-2 CELE_F36F2.5 F36F2.5	Caenorhabditis elegans
G5EEE9	T26C12.4;	gcy-23 T26C12.4	Caenorhabditis elegans
G5EEG1	T08D10.1;	nfya-1 T08D10.1	Caenorhabditis elegans
G5EEG7	CC4.3;	smu-1 CC4.3	Caenorhabditis elegans
G5EEG9	M05B5.5a;	hlh-2 M05B5.5	Caenorhabditis elegans
G5EEH5	T19B10.11;	mxl-1 T19B10.11	Caenorhabditis elegans
G5EEH9	ZK328.5a [G5EEH9-2];ZK328.5b [G5EEH9-1];ZK328.5c [G5EEH9-3];	npp-10 ZK328.5	Caenorhabditis elegans
G5EEI4	Y39B6A.20;	asp-1 Y39B6A.20	Caenorhabditis elegans
G5EEK3	T09E8.1a [G5EEK3-2];T09E8.1b [G5EEK3-3];T09E8.1c [G5EEK3-1];T09E8.1d [G5EEK3-4];T09E8.1e [G5EEK3-5];T09E8.1f [G5EEK3-6];T09E8.1g [G5EEK3-7];T09E8.1h [G5EEK3-8];T09E8.1i [G5EEK3-9];	noca-1 T09E8.1	Caenorhabditis elegans
G5EEK8	K11D9.2a;	sca-1 mca-4 CELE_K11D9.2 K11D9.2	Caenorhabditis elegans
G5EEK9	F35H10.4;	vha-5 rdy-1 F35H10.4	Caenorhabditis elegans
G5EEL0	F58A3.1a [G5EEL0-1];F58A3.1b [G5EEL0-2];	ldb-1 F58A3.1	Caenorhabditis elegans
G5EEL5	T25F10.2;	dbl-1 cet-1 T25F10.2	Caenorhabditis elegans
G5EEM0	Y45G5AM.1a [G5EEM0-1];Y45G5AM.1d [G5EEM0-2];	nhr-114 Y45G5AM.1	Caenorhabditis elegans
G5EEM5	F22B5.7;	zyg-9 F22B5.7	Caenorhabditis elegans
G5EEM6	C44H4.5;	tap-1 C44H4.5	Caenorhabditis elegans
G5EEM9	M03A1.6a [G5EEM9-5];M03A1.6b [G5EEM9-4];M03A1.6c [G5EEM9-2];M03A1.6d [G5EEM9-3];M03A1.6e [G5EEM9-1];M03A1.6f [G5EEM9-6];	ipla-1 M03A1.6	Caenorhabditis elegans
G5EEN3	C02F4.1;	ced-5 C02F4.1 CELE_C02F4.1	Caenorhabditis elegans
