Entry	WormBase	Gene Names	Organism
Q9UAU8	C13B7.2;Y45G12C.6;	str-120 C13B7.2 CELE_C13B7.2 CELE_Y45G12C.6 Y45G12C.6	Caenorhabditis elegans
Q9UAV6	F46E10.3;	CELE_F46E10.3 F46E10.3	Caenorhabditis elegans
Q9UAV9	F46E10.11;	hpo-26 CELE_F46E10.11 F46E10.11	Caenorhabditis elegans
Q9UAW2	DC2.5a;	CELE_DC2.5 DC2.5	Caenorhabditis elegans
Q9UAW3	DC2.2;	srh-78 CELE_DC2.2 DC2.2	Caenorhabditis elegans
Q9UAW4	DC2.1a;	srh-80 CELE_DC2.1 DC2.1	Caenorhabditis elegans
Q9UAW7	T20C4.1a;	srj-9 CELE_T20C4.1 T20C4.1	Caenorhabditis elegans
Q9UAW8	T12B3.3;	CELE_T12B3.3 T12B3.3	Caenorhabditis elegans
Q9UAW9	T12B3.2;	CELE_T12B3.2 T12B3.2	Caenorhabditis elegans
Q9UAX0	T12B3.1;	ptp-8 CELE_T12B3.1 T12B3.1	Caenorhabditis elegans
Q9UAX2	Y40B10B.1;	CELE_Y40B10B.1 Y40B10B.1	Caenorhabditis elegans
Q9UAX3	Y40B10B.2a;	srj-15 CELE_Y40B10B.2 Y40B10B.2	Caenorhabditis elegans
Q9UAX4	Y39H10B.1a;	str-113 CELE_Y39H10B.1 Y39H10B.1	Caenorhabditis elegans
Q9UAX5	Y38A10A.1;	srd-20 CELE_Y38A10A.1 Y38A10A.1	Caenorhabditis elegans
Q9UAX6	Y38A10A.2;	CELE_Y38A10A.2 Y38A10A.2	Caenorhabditis elegans
Q9UAX7	Y38A10A.3;	srh-10 CELE_Y38A10A.3 Y38A10A.3	Caenorhabditis elegans
Q9UAX8	Y38A10A.4;	fbxa-214 CELE_Y38A10A.4 Y38A10A.4	Caenorhabditis elegans
Q9UAY0	W03G1.5;	CELE_W03G1.5 W03G1.5	Caenorhabditis elegans
Q9UAY5	W03G1.2;	CELE_W03G1.2 W03G1.2	Caenorhabditis elegans
Q9UAY9	H43I07.2;	rpac-40 CELE_H43I07.2 H43I07.2	Caenorhabditis elegans
Q9UAZ1	Y49G5B.1a;	CELE_Y49G5B.1 Y49G5B.1	Caenorhabditis elegans
Q9UAZ2	Y49G5A.1;	CELE_Y49G5A.1 Y49G5A.1	Caenorhabditis elegans
Q9UAZ5	Y60C6A.1;	CELE_Y60C6A.1 Y60C6A.1	Caenorhabditis elegans
Q9UAZ6	Y4C6B.5;	slc-46a slc-46A CELE_Y4C6B.5 Y4C6B.5	Caenorhabditis elegans
